,url,team_name,team_full_name,team_id,team_logo
57,/tupi-foot-ball-club-mg-/startseite/verein/8294,Tupi Foot Ball Club (MG),Tupi Foot Ball Club (MG),8294,https://tmssl.akamaized.net/images/wappen/head/8294.png
58,/macae-esporte-futebol-clube-rj-/startseite/verein/4906,Macaé Esporte Futebol Clube (RJ),Macaé Esporte Futebol Clube (RJ),4906,https://tmssl.akamaized.net/images/wappen/head/4906.png
59,/mogi-mirim-esporte-clube-sp-/startseite/verein/1784,Mogi Mirim,Mogi Mirim Esporte Clube (SP),1784,https://tmssl.akamaized.net/images/wappen/head/1784.png
60,/ad-recreativa-cultural-icasa-ce-/startseite/verein/16441,Icasa,AD Recreativa Cultural Icasa (CE),16441,https://tmssl.akamaized.net/images/wappen/head/16441.png
61,/guaratingueta-futebol-ltda-sp-/startseite/verein/15064,Guaratinguetá,Guaratinguetá Futebol Ltda. (SP),15064,https://tmssl.akamaized.net/images/wappen/head/15064.png
62,/agremiacao-sportiva-arapiraquense-al-/startseite/verein/20092,ASA,Agremiação Sportiva Arapiraquense (AL),20092,https://tmssl.akamaized.net/images/wappen/head/20092.png
63,/duque-de-caxias-futebol-clube-rj-/startseite/verein/15656,Duque de Caxias,Duque de Caxias Futebol Clube (RJ),15656,https://tmssl.akamaized.net/images/wappen/head/15656.png
64,/salgueiro-atletico-clube-pe-/startseite/verein/22952,Salgueiro,Salgueiro Atlético Clube (PE),22952,https://tmssl.akamaized.net/images/wappen/head/22952.png
65,/campinense-clube-pb-/startseite/verein/1753,Campinense-PB,Campinense Clube (PB),1753,https://tmssl.akamaized.net/images/wappen/head/1753.png
66,/marilia-atletico-clube-sp-/startseite/verein/3334,Marília,Marília Atlético Clube (SP),3334,https://tmssl.akamaized.net/images/wappen/head/3334.png
67,/sociedade-esportiva-do-gama-df-/startseite/verein/7014,SE Gama,Sociedade Esportiva do Gama (DF),7014,https://tmssl.akamaized.net/images/wappen/head/7014.png
